NAMESPACE,NAME,VS,PF,READY,STATUS,RESTARTS,CPU,MEM,CPU/R:L,MEM/R:L,%CPU/R,%CPU/L,%MEM/R,%MEM/L,IP,NODE,NOMINATED NODE,READINESS GATES,QOS,LABELS,VALID,AGE
auxiliary,pgadmin-8b8f7d576-hz7mz,0,●,1/1,Running,0,1,195,10:4000,50:8192,10,0,391,2,10.2.1.61,cc01-pool-1-node-9b4b91,<none>,<none>,BU,app=pgadmin-14.5.0 app.kubernetes.io/instance=pgadmin app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=pgadmin app.kubernetes.io/version=8.3.0 helm-revision=10 helm.sh/chart=pgadmin-14.5.0 pod-template-hash=8b8f7d576 pod.lifecycle=permanent pod.name=main release=pgadmin,,8h
auxiliary,prometheus-operator-prometheus-node-exporter-fwqdp,0,●,1/1,Running,0,2,16,0:0,0:0,n/a,n/a,n/a,n/a,10.0.0.31,cc01-pool-1-node-9b4b91,<none>,<none>,BE,app.kubernetes.io/component=metrics app.kubernetes.io/instance=prometheus-operator app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=prometheus-node-exporter app.kubernetes.io/part-of=prometheus-node-exporter app.kubernetes.io/version=1.6.0 controller-revision-hash=54b4d8c84f helm.sh/chart=prometheus-node-exporter-4.21.0 jobLabel=node-exporter pod-template-generation=1 release=prometheus-operator,,64d
auxiliary,tempo-0,0,●,1/1,Running,0,3,252,0:0,0:0,n/a,n/a,n/a,n/a,10.2.26.20,cc01-pool-1-node-325afd,<none>,<none>,BE,app.kubernetes.io/instance=tempo app.kubernetes.io/name=tempo apps.kubernetes.io/pod-index=0 controller-revision-hash=tempo-69b8c989c9 statefulset.kubernetes.io/pod-name=tempo-0,,10d
kube-system,ovhcloud-apiserver-proxy-nsdpl,0,●,1/1,Running,0,1,13,2:0,10:0,50,n/a,132,n/a,10.0.1.144,cc01-pool-1-node-da6e34,<none>,<none>,BU,controller-revision-hash=5d4b74d9f9 k8s-app=ovhcloud-apiserver-proxy mks.ovh/version=1.28.3-1 pod-template-generation=2,,10d
auxiliary,glitchtip-worker-c84b9b9f8-rvp2b,0,●,1/1,Running,0,20,596,100:900,350:768,20,2,170,77,10.2.32.7,cc01-pool-1-node-938903,<none>,<none>,BU,app.kubernetes.io/component=worker app.kubernetes.io/instance=glitchtip app.kubernetes.io/name=glitchtip pod-template-hash=c84b9b9f8,,10d
auxiliary,superset-redis-master-0,0,●,1/1,Running,0,11,10,0:0,0:0,n/a,n/a,n/a,n/a,10.2.26.17,cc01-pool-1-node-325afd,<none>,<none>,BE,app.kubernetes.io/component=master app.kubernetes.io/instance=superset app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=redis apps.kubernetes.io/pod-index=0 controller-revision-hash=superset-redis-master-68db967467 helm.sh/chart=redis-17.9.4 statefulset.kubernetes.io/pod-name=superset-redis-master-0,,10d
auxiliary,vault-agent-injector-66987ccdc9-9gd7b,0,●,1/1,Running,0,6,52,0:0,0:0,n/a,n/a,n/a,n/a,10.2.32.15,cc01-pool-1-node-938903,<none>,<none>,BE,app.kubernetes.io/instance=vault app.kubernetes.io/name=vault-agent-injector component=webhook pod-template-hash=66987ccdc9,,10d
dev,rotate-credentials-28477470-6489v,0,●,0/1,Completed,0,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.2.1.57,cc01-pool-1-node-9b4b91,<none>,<none>,BE,batch.kubernetes.io/controller-uid=f3f594c9-ce28-4408-b760-0a918f5b265b batch.kubernetes.io/job-name=rotate-credentials-28477470 controller-uid=f3f594c9-ce28-4408-b760-0a918f5b265b job-name=rotate-credentials-28477470,,8h
auxiliary,dex-dcb744f44-gkk48,0,●,1/1,Running,0,1,16,0:0,0:0,n/a,n/a,n/a,n/a,10.2.26.6,cc01-pool-1-node-325afd,<none>,<none>,BE,app.kubernetes.io/instance=dex app.kubernetes.io/name=dex pod-template-hash=dcb744f44,,10d
auxiliary,loki-write-1,0,●,1/1,Running,0,39,202,0:0,0:0,n/a,n/a,n/a,n/a,10.2.26.22,cc01-pool-1-node-325afd,<none>,<none>,BE,app.kubernetes.io/component=write app.kubernetes.io/instance=loki app.kubernetes.io/name=loki app.kubernetes.io/part-of=memberlist apps.kubernetes.io/pod-index=1 controller-revision-hash=loki-write-6cdcc9fcd9 statefulset.kubernetes.io/pod-name=loki-write-1,,10d
